NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,CouponUsed
3,true,17,2,4,153.55376257,false,8,Phone,1,12,Debit Card,Male,4,4,Phone,1,Married,2
7,false,15,2,3,219.6819851,false,10,Phone,1,15,CC,Female,3,5,Fashion,5,Single,1
9,false,13,1,3,218.66135142,false,6,Computer,3,11,Debit Card,Female,3,3,Fashion,4,Married,0
9,false,11,2,17,268.76320639,false,27,Phone,1,8,Debit Card,Female,3,3,Grocery,3,Married,2
4,false,15,1,0,237.90644912,false,3,Phone,1,24,CC,Male,2,4,Grocery,1,Married,0
9,false,13,3,3,145.93167264,true,1,Phone,1,16,Debit Card,Female,3,3,Phone,5,Single,3
3,false,14,1,2,121.67490015,false,9,Computer,1,30,CC,Female,2,3,Phone,2,Single,0
9,true,12,2,8,182.85583069,false,1,Phone,3,16,E wallet,Female,3,4,Laptop & Accessory,3,Single,1
10,true,17,2,1,145.42945564,false,10,Phone,1,25,CC,Female,3,1,Laptop & Accessory,3,Married,2
5,false,21,2,1,151.69779836,false,25,Phone,1,14,Debit Card,Male,4,4,Phone,1,Married,2
2,false,16,1,2,134.56246296,false,0,Computer,1,6,Debit Card,Male,3,2,Laptop & Accessory,3,Single,1
3,false,11,1,2,153.51353226,false,23,Phone,1,11,CC,Female,3,4,Laptop & Accessory,3,Married,0
5,false,18,1,1,124.30425339,false,9,Computer,1,21,CC,Female,3,1,Phone,5,Single,0
6,true,12,1,2,199.83284161,false,19,Computer,2,9,CC,Female,2,3,Laptop & Accessory,5,Married,1
5,false,12,7,1,190.15418034,false,11,Phone,1,7,Debit Card,Female,4,4,Fashion,3,Single,2
3,false,15,2,3,180.70300432,false,8,Phone,1,32,CC,Male,4,5,Laptop & Accessory,3,Married,2
3,false,14,1,0,39.22086392,true,9,Computer,3,20,CC,Male,3,3,Laptop & Accessory,4,Single,0
3,true,13,2,3,143.56492914,true,2,Phone,1,33,CC,Male,3,4,Phone,3,Married,1
9,false,16,1,7,149.39809761,false,12,Phone,1,11,Debit Card,Male,2,5,Laptop & Accessory,3,Single,0
2,false,14,2,1,161.73643214,false,1,Phone,1,7,Debit Card,Male,4,4,Laptop & Accessory,5,Married,2
3,false,14,6,11,255.20812977,false,11,Computer,3,10,Debit Card,Female,4,3,Fashion,1,Single,2
7,true,15,7,14,297.67646734,false,21,Phone,1,7,CC,Male,3,4,Others,5,Single,6
3,true,20,12,3,232.11878375,false,9,Phone,3,33,E wallet,Female,4,4,Fashion,1,Married,4
3,false,16,2,3,173.19270444,false,27,Phone,3,7,COD,Male,4,5,Laptop & Accessory,3,Married,1
10,true,23,2,8,177.59124714,false,1,Computer,3,10,COD,Female,3,4,Laptop & Accessory,5,Single,2
3,true,13,5,8,169.92877516,false,1,Phone,3,11,Debit Card,Female,3,4,Laptop & Accessory,1,Single,8
10,true,19,1,0,124.4243179,false,20,Computer,1,14,Debit Card,Male,2,4,Phone,5,Single,0
8,true,12,2,4,173.21532606,false,1,Phone,1,10,Debit Card,Male,3,4,Phone,5,Single,2
3,false,15,1,12,206.47502849,false,8,Phone,3,34,E wallet,Female,3,4,Fashion,1,Married,0
6,false,14,4,10,319.47224707,false,24,Phone,2,10,COD,Male,3,4,Laptop & Accessory,4,Married,4
10,false,14,8,5,209.48135957,false,5,Phone,1,16,CC,Male,4,5,Laptop & Accessory,3,Single,2
3,false,12,2,5,152.528427,false,10,Phone,2,34,CC,Male,3,2,Phone,4,Divorced,1
6,false,13,2,3,153.07619816,false,27,Phone,1,7,CC,Female,4,4,Phone,3,Divorced,1
3,false,24,2,10,153.7096725,false,20,Phone,3,14,Debit Card,Male,3,4,Phone,5,Married,2
5,false,17,4,6,223.32099212,false,14,Phone,1,33,UPI,Male,3,3,Laptop & Accessory,5,Married,1
2,false,14,1,0,132.93638627,true,0,Computer,3,17,Debit Card,Male,2,3,Phone,3,Single,0
4,true,12,2,3,150.68993518,false,8,Phone,1,18,COD,Male,3,4,Phone,3,Married,1
2,false,15,3,6,152.57601953,false,7,Phone,1,7,CC,Male,4,3,Phone,1,Married,1
9,true,23,1,7,121.15284416,false,9,Phone,1,7,CC,Male,2,1,Phone,4,Single,1
2,true,22,1,4,128.14678193,true,3,Phone,3,8,UPI,Female,3,5,Phone,1,Married,0
2,false,24,1,3,123.97342493,false,9,Phone,1,14,Debit Card,Male,2,4,Phone,3,Divorced,1
3,true,13,2,1,138.61222638,true,5,Phone,1,35,CC,Female,4,4,Phone,3,Divorced,2
3,false,17,2,1,162.6568755,true,1,Computer,1,28,Debit Card,Male,3,4,Phone,1,Married,1
3,false,21,2,4,153.05334055,true,8,Computer,1,13,CC,Male,4,6,Phone,3,Married,7
8,false,16,1,2,120.65867164,false,9,Phone,3,6,E wallet,Female,2,3,Others,3,Divorced,0
3,false,17,8,3,212.88135975,false,5,Computer,3,16,E wallet,Female,3,4,Fashion,4,Single,3
9,false,13,4,8,291.83597367,false,3,Phone,1,36,CC,Male,3,4,Others,5,Married,1
7,false,23,1,0,163.68505444,true,8,Phone,1,6,Debit Card,Female,3,2,Fashion,3,Divorced,1
3,false,23,2,5,147.95063672,true,1,Computer,1,15,COD,Male,4,4,Phone,5,Single,2
3,true,25,2,1,148.84757311,true,9,Computer,1,15,Debit Card,Male,4,5,Phone,3,Single,2
2,false,14,7,9,260.58544108,false,10,Phone,2,32,Debit Card,Male,3,4,Grocery,1,Married,1
2,true,13,3,3,161.35348107,false,0,Computer,1,7,COD,Male,2,4,Laptop & Accessory,1,Single,0
2,false,13,2,2,139.29793532,false,0,Phone,1,12,Debit Card,Male,2,3,Phone,3,Married,2
