Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
True,4,Phone,3,6.0,Debit Card,Female,3,3,Laptop & Accessory,2,Single,9,True,11.0,1,1,5,159.93
True,10,Phone,1,8.0,UPI,Male,3,4,Phone,3,Single,7,True,15.0,0,1,0,120.9
True,6,Phone,1,30.0,Debit Card,Male,2,4,Phone,3,Single,6,True,14.0,0,1,3,120.28
True,0,Phone,3,15.0,Debit Card,Male,2,4,Laptop & Accessory,5,Single,8,False,23.0,0,1,3,134.07
True,0,Phone,1,12.0,CC,Male,2,3,Phone,5,Single,3,False,11.0,1,1,3,129.6
True,0,Computer,1,22.0,Debit Card,Female,3,5,Phone,5,Single,2,True,22.0,4,6,7,139.19
True,8,Phone,3,11.0,COD,Male,2,3,Laptop & Accessory,2,Divorced,4,False,14.0,0,1,0,120.86000000000001
True,7,Phone,1,6.0,CC,Male,3,3,Phone,2,Divorced,3,True,16.0,2,2,0,122.93
True,13,Phone,3,9.0,E wallet,Male,3,4,Phone,3,Divorced,2,True,14.0,0,1,2,126.83000000000001
True,12,Phone,1,31.0,Debit Card,Male,2,5,Phone,3,Single,2,False,12.0,1,1,1,122.93
True,4,Phone,1,18.0,COD,Female,2,3,Others,3,Divorced,2,False,16.0,9,15,8,295.45
True,11,Phone,1,6.0,Debit Card,Male,3,4,Fashion,3,Single,10,True,13.0,0,1,0,153.81
True,0,Phone,1,11.0,COD,Male,2,3,Phone,3,Single,2,True,13.0,2,2,2,134.41
True,0,Phone,1,15.0,CC,Male,3,4,Phone,3,Divorced,1,True,17.0,0,1,0,133.88
True,9,Phone,3,15.0,CC,Male,3,4,Fashion,2,Single,2,False,16.0,0,4,7,196.19
True,7,Phone,2,12.0,UPI,Male,3,3,Phone,5,Married,5,True,22.0,1,1,2,120.72999999999999
True,0,Computer,1,12.0,Debit Card,Female,2,4,Phone,2,Single,2,True,18.0,1,1,0,129.26
True,0,Phone,3,11.0,E wallet,Male,2,4,Laptop & Accessory,3,Single,2,True,11.0,1,1,3,157.44
True,0,Computer,1,13.0,Debit Card,Male,3,5,Laptop & Accessory,3,Single,2,True,24.0,1,1,6,160.74
True,19,Phone,1,20.0,Debit Card,Female,3,3,Phone,4,Divorced,10,True,18.0,1,4,3,149.63
True,0,Phone,3,12.0,Debit Card,Male,3,5,Laptop & Accessory,3,Divorced,5,True,18.0,6,7,7,161.72
True,20,Phone,1,29.0,CC,Female,3,3,Fashion,2,Divorced,2,False,12.0,11,15,6,203.12
True,0,Phone,3,28.0,E wallet,Male,2,3,Phone,3,Single,2,True,19.0,0,1,0,116.75
True,0,Phone,3,26.0,Debit Card,Female,3,5,Laptop & Accessory,3,Divorced,4,True,11.0,1,2,2,145.59
True,14,Computer,1,14.0,Debit Card,Male,2,5,Fashion,2,Single,3,False,15.0,0,1,3,206.5
True,0,Phone,1,15.0,CC,Female,2,3,Phone,5,Single,8,False,22.0,1,1,4,142.0
False,8,Phone,3,6.0,E wallet,Male,3,3,Fashion,4,Divorced,2,False,13.0,1,1,6,172.95
False,5,Phone,3,12.0,E wallet,Male,2,3,Laptop & Accessory,3,Divorced,3,True,20.0,0,4,5,123.06
False,18,Phone,1,14.4,Debit Card,Male,2,3,Laptop & Accessory,4,Married,9,False,18.0,1,1,15,123.47999999999999
False,5,Computer,3,14.0,E wallet,Female,2,3,Fashion,2,Single,2,False,14.0,2,3,7,189.98
False,2,Computer,1,6.0,COD,Male,2,3,Laptop & Accessory,3,Divorced,2,False,13.0,0,1,9,143.19
False,0,Phone,1,13.0,CC,Male,2,4,Laptop & Accessory,3,Divorced,3,False,17.0,1,1,0,161.32
False,30,Phone,1,15.0,CC,Female,3,4,Phone,4,Divorced,5,True,20.0,1,1,0,133.46
False,13,Phone,3,10.0,E wallet,Male,3,4,Fashion,2,Divorced,8,False,11.0,2,2,11,208.55
False,7,Computer,3,8.0,E wallet,Female,3,3,Phone,3,Divorced,7,False,18.0,1,1,2,122.31
False,0,Phone,1,14.2,CC,Male,3,3,Phone,2,Divorced,2,False,24.0,0,2,2,123.22999999999999
False,2,Computer,1,15.0,CC,Male,2,3,Phone,4,Married,7,False,18.0,0,2,2,120.24000000000001
False,1,Phone,1,27.0,CC,Male,2,3,Phone,2,Divorced,2,False,11.0,0,1,2,127.13
False,30,Phone,1,30.0,Debit Card,Male,2,2,Fashion,2,Married,4,True,16.0,1,1,4,194.39
False,0,Computer,1,19.2,CC,Male,3,4,Phone,3,Married,2,True,15.0,0,1,1,125.66
False,23,Phone,1,17.0,Debit Card,Female,2,3,Others,4,Single,4,False,12.8,2,4,4,299.26
False,14,Phone,1,11.8,Debit Card,Male,2,3,Phone,3,Married,5,False,12.0,1,1,8,124.50999999999999
False,3,Phone,3,11.0,Debit Card,Female,2,3,Fashion,2,Divorced,3,False,12.0,2,7,4,194.19
False,11,Phone,3,6.0,Debit Card,Female,2,4,Laptop & Accessory,2,Single,5,False,22.0,1,1,1,186.86
False,5,Phone,1,12.0,Debit Card,Male,2,3,Phone,3,Single,4,False,20.0,0,1,4,130.38
False,0,Phone,1,23.0,COD,Male,2,3,Phone,4,Divorced,1,True,16.0,1,1,1,130.58
True,0,Computer,3,26.4,COD,Female,3,5,Phone,5,Single,1,False,21.0,1,1,0,123.25
False,9,Computer,1,9.0,CC,Male,1,3,Phone,4,Single,5,False,12.0,4,7,2,120.88
False,3,Computer,1,15.0,CC,Male,2,3,Laptop & Accessory,5,Married,2,False,11.0,0,6,10,130.72
False,18,Phone,3,10.0,Debit Card,Female,1,3,Laptop & Accessory,5,Married,5,True,11.0,0,1,3,150.06
False,29,Phone,1,14.0,Debit Card,Female,3,3,Phone,5,Married,5,True,18.0,1,2,2,142.57
False,6,Phone,1,15.8,Debit Card,Male,2,3,Phone,2,Single,1,False,14.0,0,1,2,125.0
True,0,Phone,1,8.0,Debit Card,Male,2,4,Phone,2,Single,2,False,22.0,0,1,0,111.02000000000001
False,19,Phone,3,6.0,E wallet,Female,3,3,Fashion,5,Married,2,False,25.0,4,15,7,204.53
False,13,Phone,1,15.0,Debit Card,Female,3,3,Phone,2,Single,2,False,12.0,1,2,1,122.88
False,4,Phone,1,18.0,CC,Female,3,3,Phone,2,Divorced,9,True,23.0,1,1,2,139.29
False,7,Phone,1,33.0,CC,Female,3,3,Phone,4,Single,3,False,15.0,1,1,2,123.11000000000001
True,4,Phone,3,26.0,E wallet,Female,2,3,Phone,4,Single,2,True,22.0,0,1,2,131.4
False,23,Phone,1,6.0,CC,Male,2,4,Phone,3,Divorced,3,False,15.0,0,1,2,136.9
False,26,Phone,1,19.0,CC,Female,2,2,Laptop & Accessory,5,Married,2,False,11.0,1,1,3,144.5
False,6,Phone,1,20.0,CC,Female,2,3,Phone,4,Divorced,2,False,13.0,0,1,6,127.56
False,13,Phone,1,10.0,CC,Female,2,3,Others,3,Divorced,2,False,14.0,1,9,9,290.33
False,28,Phone,1,20.0,CC,Male,3,2,Others,4,Single,9,False,11.0,1,2,15,287.22
