Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Gender_Male
4,0.156312625250501,0.21420256111757857,6.0,0.15437987857762359,3,3,0.10263929618768329,2,0.26674107142857145,9,True,11.0,1,1,5,159.93,0.0
10,0.156312625250501,0.1448087431693989,8.0,0.17391304347826086,3,4,0.27360308285163776,3,0.26674107142857145,7,True,15.0,0,1,0,120.9,1.0
6,0.156312625250501,0.1448087431693989,30.0,0.15437987857762359,2,4,0.27360308285163776,3,0.26674107142857145,6,True,14.0,0,1,3,120.28,1.0
0,0.156312625250501,0.21420256111757857,15.0,0.15437987857762359,2,4,0.10263929618768329,5,0.26674107142857145,8,False,23.0,0,1,3,134.07,1.0
0,0.156312625250501,0.1448087431693989,12.0,0.14205186020293123,2,3,0.27360308285163776,5,0.26674107142857145,3,False,11.0,1,1,3,129.6,1.0
0,0.1977886977886978,0.1448087431693989,22.0,0.15437987857762359,3,5,0.27360308285163776,5,0.26674107142857145,2,True,22.0,4,6,7,139.19,0.0
8,0.156312625250501,0.21420256111757857,11.0,0.24609375,2,3,0.10263929618768329,2,0.14657210401891252,4,False,14.0,0,1,0,120.86000000000001,1.0
7,0.156312625250501,0.1448087431693989,6.0,0.14205186020293123,3,3,0.27360308285163776,2,0.14657210401891252,3,True,16.0,2,2,0,122.93,1.0
13,0.156312625250501,0.21420256111757857,9.0,0.2280130293159609,3,4,0.27360308285163776,3,0.14657210401891252,2,True,14.0,0,1,2,126.83000000000001,1.0
12,0.156312625250501,0.1448087431693989,31.0,0.15437987857762359,2,5,0.27360308285163776,3,0.26674107142857145,2,False,12.0,1,1,1,122.93,1.0
4,0.156312625250501,0.1448087431693989,18.0,0.24609375,2,3,0.07575757575991829,3,0.14657210401891252,2,False,16.0,9,15,8,295.45,0.0
11,0.156312625250501,0.1448087431693989,6.0,0.15437987857762359,3,4,0.1549636803874092,3,0.26674107142857145,10,True,13.0,0,1,0,153.81,1.0
0,0.156312625250501,0.1448087431693989,11.0,0.24609375,2,3,0.27360308285163776,3,0.26674107142857145,2,True,13.0,2,2,2,134.41,1.0
0,0.156312625250501,0.1448087431693989,15.0,0.14205186020293123,3,4,0.27360308285163776,3,0.14657210401891252,1,True,17.0,0,1,0,133.88,1.0
9,0.156312625250501,0.21420256111757857,15.0,0.14205186020293123,3,4,0.1549636803874092,2,0.26674107142857145,2,False,16.0,0,4,7,196.19,1.0
7,0.156312625250501,0.19834710743116057,12.0,0.17391304347826086,3,3,0.27360308285163776,5,0.1153588195841717,5,True,22.0,1,1,2,120.72999999999999,1.0
0,0.1977886977886978,0.1448087431693989,12.0,0.15437987857762359,2,4,0.27360308285163776,2,0.26674107142857145,2,True,18.0,1,1,0,129.26,0.0
0,0.156312625250501,0.21420256111757857,11.0,0.2280130293159609,2,4,0.10263929618768329,3,0.26674107142857145,2,True,11.0,1,1,3,157.44,1.0
0,0.1977886977886978,0.1448087431693989,13.0,0.15437987857762359,3,5,0.10263929618768329,3,0.26674107142857145,2,True,24.0,1,1,6,160.74,1.0
19,0.156312625250501,0.1448087431693989,20.0,0.15437987857762359,3,3,0.27360308285163776,4,0.14657210401891252,10,True,18.0,1,4,3,149.63,0.0
0,0.156312625250501,0.21420256111757857,12.0,0.15437987857762359,3,5,0.10263929618768329,3,0.14657210401891252,5,True,18.0,6,7,7,161.72,1.0
