Churn,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus,CityTier
True,4.0,6.0,3.0,3,2,9,True,11.0,1.0,1.0,5.0,159.93,Phone,Debit Card,Female,Laptop & Accessory,Single,3
True,10.0,8.0,3.0,4,3,7,True,15.0,0.0,1.0,0.0,120.9,Phone,UPI,Male,Phone,Single,1
True,6.4,30.0,2.0,4,3,6,True,14.0,0.0,1.0,3.0,120.28,Phone,Debit Card,Male,Phone,Single,1
True,0.0,15.0,2.0,4,5,8,False,23.0,0.0,1.0,3.0,134.07,Phone,Debit Card,Male,Laptop & Accessory,Single,3
True,0.0,12.0,2.4,3,5,3,False,11.0,1.0,1.0,3.0,129.6,Phone,CC,Male,Phone,Single,1
True,0.0,22.0,3.0,5,5,2,True,22.0,4.0,6.0,7.0,139.19,Computer,Debit Card,Female,Phone,Single,1
True,8.4,11.0,2.0,3,2,4,False,14.0,0.0,1.0,0.0,120.86000000000001,Phone,COD,Male,Laptop & Accessory,Divorced,3
True,7.2,6.0,3.0,3,2,3,True,16.0,2.0,2.0,0.0,122.93,Phone,CC,Male,Phone,Divorced,1
True,13.0,9.0,3.0,4,3,2,True,14.0,0.0,1.0,2.0,126.83000000000001,Phone,E wallet,Male,Phone,Divorced,3
True,12.0,31.0,2.0,5,3,2,False,12.0,1.0,1.0,1.0,122.93,Phone,Debit Card,Male,Phone,Single,1
True,4.0,18.0,2.0,3,3,2,False,16.0,9.0,15.0,8.0,295.45,Phone,COD,Female,Others,Divorced,1
True,11.0,6.0,3.0,4,3,10,True,13.0,0.0,1.0,0.0,153.81,Phone,Debit Card,Male,Fashion,Single,1
True,0.0,11.0,2.0,3,3,2,True,13.0,2.0,2.0,2.0,134.41,Phone,COD,Male,Phone,Single,1
True,0.0,15.0,3.0,4,3,1,True,17.0,0.0,1.0,0.0,133.88,Phone,CC,Male,Phone,Divorced,1
True,9.0,15.0,3.0,4,2,2,False,16.0,0.0,4.0,7.0,196.19,Phone,CC,Male,Fashion,Single,3
True,7.0,12.0,3.0,3,5,5,True,22.0,1.0,1.0,2.0,120.72999999999999,Phone,UPI,Male,Phone,Married,2
True,0.0,12.0,2.4,4,2,2,True,18.0,1.0,1.0,0.0,129.26,Computer,Debit Card,Female,Phone,Single,1
True,0.0,11.0,2.0,4,3,2,True,11.0,1.0,1.0,3.0,157.44,Phone,E wallet,Male,Laptop & Accessory,Single,3
True,0.0,13.0,3.0,5,3,2,True,24.0,1.0,1.0,6.0,160.74,Computer,Debit Card,Male,Laptop & Accessory,Single,1
True,19.0,20.0,3.0,3,4,10,True,18.0,1.0,4.0,3.0,149.63,Phone,Debit Card,Female,Phone,Divorced,1
True,0.0,12.0,3.0,5,3,5,True,18.0,6.0,7.0,7.0,161.72,Phone,Debit Card,Male,Laptop & Accessory,Divorced,3
True,20.0,29.0,3.0,3,2,2,False,12.0,11.0,15.0,6.0,203.12,Phone,CC,Female,Fashion,Divorced,1
True,0.0,28.0,2.0,3,3,2,True,19.0,0.0,1.0,0.0,116.75,Phone,E wallet,Male,Phone,Single,3
True,0.0,26.0,3.0,5,3,4,True,11.0,1.0,2.0,2.0,145.59,Phone,Debit Card,Female,Laptop & Accessory,Divorced,3
True,14.0,14.0,2.0,5,2,3,False,15.0,0.0,1.0,3.0,206.5,Computer,Debit Card,Male,Fashion,Single,1
True,0.0,15.0,2.0,3,5,8,False,22.0,1.0,1.0,4.0,142.0,Phone,CC,Female,Phone,Single,1
False,8.0,6.0,3.0,3,4,2,False,13.0,1.0,1.0,6.0,172.95,Phone,E wallet,Male,Fashion,Divorced,3
False,5.6,12.0,2.0,3,3,3,True,20.0,0.0,4.0,5.0,123.06,Phone,E wallet,Male,Laptop & Accessory,Divorced,3
False,18.0,14.4,2.0,3,4,9,False,18.0,1.0,1.0,15.0,123.47999999999999,Phone,Debit Card,Male,Laptop & Accessory,Married,1
False,5.0,14.0,2.0,3,2,2,False,14.0,2.0,3.0,7.0,189.98,Computer,E wallet,Female,Fashion,Single,3
False,2.0,6.0,2.0,3,3,2,False,13.0,0.0,1.0,9.0,143.19,Computer,COD,Male,Laptop & Accessory,Divorced,1
False,0.0,13.0,2.0,4,3,3,False,17.0,1.0,1.0,0.0,161.32,Phone,CC,Male,Laptop & Accessory,Divorced,1
False,30.0,15.0,3.0,4,4,5,True,20.0,1.0,1.0,0.0,133.46,Phone,CC,Female,Phone,Divorced,1
False,13.0,10.0,3.0,4,2,8,False,11.0,2.0,2.0,11.0,208.55,Phone,E wallet,Male,Fashion,Divorced,3
False,7.0,8.0,3.0,3,3,7,False,18.0,1.0,1.0,2.0,122.31,Computer,E wallet,Female,Phone,Divorced,3
False,0.0,14.2,3.0,3,2,2,False,24.0,0.0,2.0,2.0,123.22999999999999,Phone,CC,Male,Phone,Divorced,1
False,2.8,15.0,2.0,3,4,7,False,18.0,0.0,2.0,2.0,120.24000000000001,Computer,CC,Male,Phone,Married,1
False,1.0,27.0,2.8,3,2,2,False,11.0,0.0,1.0,2.0,127.13,Phone,CC,Male,Phone,Divorced,1
False,30.0,30.0,2.0,2,2,4,True,16.0,1.0,1.0,4.0,194.39,Phone,Debit Card,Male,Fashion,Married,1
False,0.0,19.2,3.0,4,3,2,True,15.0,0.0,1.0,1.0,125.66,Computer,CC,Male,Phone,Married,1
False,23.0,17.0,2.0,3,4,4,False,12.8,2.0,4.0,4.0,299.26,Phone,Debit Card,Female,Others,Single,1
False,14.0,11.8,2.0,3,3,5,False,12.0,1.0,1.0,8.0,124.50999999999999,Phone,Debit Card,Male,Phone,Married,1
False,3.0,11.0,2.0,3,2,3,False,12.0,2.0,7.0,4.0,194.19,Phone,Debit Card,Female,Fashion,Divorced,3
False,11.0,6.0,2.0,4,2,5,False,22.0,1.0,1.0,1.0,186.86,Phone,Debit Card,Female,Laptop & Accessory,Single,3
False,5.0,12.0,2.6,3,3,4,False,20.0,0.0,1.0,4.0,130.38,Phone,Debit Card,Male,Phone,Single,1
False,0.0,23.0,2.6,3,4,1,True,16.0,1.0,1.0,1.0,130.58,Phone,COD,Male,Phone,Divorced,1
True,0.0,26.4,3.0,5,5,1,False,21.0,1.0,1.0,0.0,123.25,Computer,COD,Female,Phone,Single,3
False,9.8,9.0,1.0,3,4,5,False,12.0,4.0,7.0,2.0,120.88,Computer,CC,Male,Phone,Single,1
False,3.0,15.0,2.2,3,5,2,False,11.0,0.0,6.0,10.0,130.72,Computer,CC,Male,Laptop & Accessory,Married,1
False,18.0,10.0,1.0,3,5,5,True,11.0,0.0,1.0,3.0,150.06,Phone,Debit Card,Female,Laptop & Accessory,Married,3
False,29.0,14.0,3.0,3,5,5,True,18.0,1.0,2.0,2.0,142.57,Phone,Debit Card,Female,Phone,Married,1
False,6.0,15.8,2.0,3,2,1,False,14.0,0.0,1.0,2.0,125.0,Phone,Debit Card,Male,Phone,Single,1
True,0.0,8.0,2.0,4,2,2,False,22.0,0.0,1.0,0.0,111.02000000000001,Phone,Debit Card,Male,Phone,Single,1
False,19.0,6.0,3.0,3,5,2,False,25.0,4.0,15.0,7.0,204.53,Phone,E wallet,Female,Fashion,Married,3
False,13.6,15.0,3.0,3,2,2,False,12.0,1.0,2.0,1.0,122.88,Phone,Debit Card,Female,Phone,Single,1
False,4.0,18.0,3.0,3,2,9,True,23.0,1.0,1.0,2.0,139.29,Phone,CC,Female,Phone,Divorced,1
False,7.2,33.0,3.0,3,4,3,False,15.0,1.0,1.0,2.0,123.11000000000001,Phone,CC,Female,Phone,Single,1
